,Purdue,Purdue,Purdue,Purdue,Purdue,Purdue,Purdue,Purdue,Purdue,Purdue,Purdue,Purdue,Purdue,Purdue,Purdue,Purdue,Purdue,Purdue,Purdue,Purdue,Opp,Opp,Opp,Opp,Opp,Opp,Opp,Opp,Opp,Opp,Opp,Opp,Opp,Opp,Opp,Opp,Opp,Opp,Opp,Opp,target_variable
,Date,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA,Date,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA,
0,2022-11-27,Duke,112.44,87.82,68.78,0.3876,0.4276000000000001,0.5806000000000001,59.14,60.040000000000006,7.779999999999999,12.44,0.5389999999999999,14.279999999999998,35.0,0.3016,0.4204,12.76,79.44,0.109,2022-11-27,Purdue,107.58,90.74,66.22,0.2899999999999999,0.3683999999999999,0.5164,59.44,49.56,8.08,10.14,0.4722,13.3,41.16,0.2292,0.462,16.92,78.03999999999999,0.1871999999999999,137
1,2022-11-30,Florida State,113.7,91.3,66.42,0.392,0.3952,0.5906,57.96,59.78,6.3,8.620000000000001,0.5492,14.94,34.46,0.3068,0.4145999999999999,10.64,75.92,0.1369999999999999,2022-11-30,Purdue,90.92,102.78000000000002,72.68,0.3494,0.3116,0.4992,45.220000000000006,56.3,10.44,15.66,0.4548,18.12,23.9,0.2556,0.4982,15.44,67.67999999999999,0.2287999999999999,107
2,2022-12-04,Minnesota,113.7,95.02,69.32,0.432,0.3802,0.5900000000000001,57.16,59.7,5.9,7.7,0.5468,13.64,32.64,0.3312,0.4368,11.04,76.4,0.1356,2022-12-04,Purdue,87.16000000000001,95.04,67.66,0.3838,0.385,0.4692,46.06,54.6,8.42,8.92,0.45,16.419999999999998,22.54,0.2128,0.4606,14.160000000000002,67.88000000000001,0.1212,145
3,2022-12-07,Hofstra,117.44,94.72,69.47999999999999,0.4232,0.3362,0.5948,60.8,64.16,6.459999999999999,6.220000000000001,0.5466,13.68,36.760000000000005,0.3376,0.4568,11.38,80.46000000000001,0.1387999999999999,2022-12-07,Purdue,87.66,95.62,69.92,0.2764,0.3718,0.4938,44.06,35.940000000000005,8.36,11.94,0.454,17.54,19.02,0.2125999999999999,0.4612,16.18,66.85999999999999,0.1518,148
4,2022-12-10,Nebraska,119.96,95.0,68.88,0.3686,0.3412,0.581,62.88,65.0,5.64,7.18,0.5404000000000001,11.3,37.06,0.2838,0.4774,11.36,86.34,0.122,2022-12-10,Purdue,102.54,96.4,69.34,0.2052,0.3782,0.5674,50.62,58.84,10.7,2.54,0.5555999999999999,18.14,24.72,0.1394,0.5024,17.479999999999997,73.24,0.121,150
5,2022-12-17,Davidson,114.46,93.84,67.32,0.3654,0.356,0.5596,61.92,59.220000000000006,5.640000000000001,9.14,0.5204,12.3,37.6,0.2728,0.4598000000000001,11.4,83.72,0.1324,2022-12-17,Purdue,105.84,100.76,66.56,0.4152,0.3366,0.5762,46.0,55.620000000000005,7.9,3.5200000000000005,0.5342,14.18,17.18,0.3246,0.509,13.4,70.78,0.1262,131
6,2022-12-21,New Orleans,111.38000000000002,94.28,68.17999999999999,0.4274,0.3802,0.5391999999999999,62.82000000000001,57.71999999999999,4.92,10.94,0.4891999999999999,11.6,37.56,0.3142,0.4742,11.18,86.7,0.1105999999999999,2022-12-21,Purdue,90.48,109.76,75.84,0.3438,0.2422,0.5117999999999999,45.8,57.2,7.359999999999999,5.6,0.4680000000000001,19.4,22.42,0.265,0.5700000000000001,15.820000000000002,71.94,0.3165999999999999,148
7,2022-12-29,Florida A&M,117.94,95.64,64.10000000000001,0.4232,0.4004,0.5586,62.760000000000005,55.760000000000005,6.14,12.080000000000002,0.5096,10.82,40.56,0.3199999999999999,0.4952,13.32,84.85999999999999,0.1182,2022-12-29,Purdue,86.3,109.46,67.44,0.2559999999999999,0.3114,0.4608,41.14,41.0,10.98,9.0,0.4307999999999999,18.160000000000004,25.92,0.1674,0.5294000000000001,16.64,58.88,0.2186,159
8,2023-01-02,Rutgers,116.98000000000002,90.2,63.42,0.4594,0.4328,0.5518000000000001,63.08,54.14,6.5200000000000005,15.72,0.5056,10.86,42.52,0.3318,0.4554,14.18,84.22,0.142,2023-01-02,Purdue,104.76,80.58,68.84,0.2542,0.3278,0.5544,55.44,67.1,13.279999999999998,14.74,0.5237999999999999,15.919999999999998,26.04,0.1965999999999999,0.4416,20.52,80.78,0.1649999999999999,151
